1    1.33734e+00        4.11792e-01   1.72206e+00
2    7.70669e-01        4.13824e-01   2.37583e-01
3    4.43047e-01        6.58119e-02   1.71492e-01
4    6.24297e-01        1.92584e-02   1.44156e-01
5    1.34721e-01        3.57770e-03   2.05101e-02
6    8.68459e-02        1.55264e-03   6.35616e-03
7    6.02365e-02        5.98345e-04   6.34456e-03
8    7.14756e-02        1.94826e-04   1.22057e-03
9    4.36129e-03        7.41687e-05   1.74120e-04
10   6.25388e-02        3.90969e-05   1.85639e-05
11   2.56948e-01        1.38098e-05   9.32311e-07
12   5.65489e-02        4.38491e-06
13   8.04626e-03        1.78994e-06
14   6.26431e-02        7.38770e-07
15   2.62932e-01
16   5.82299e-02
17   8.28355e-03
18   6.21792e-02
19   2.64331e-01
20   5.93963e-02
21   8.40601e-03
22   6.17235e-02
23   2.65680e-01
24   6.05275e-02
25   8.53907e-03
26   6.12800e-02
27   2.67044e-01
28   6.16130e-02
29   8.68010e-03
30   6.08542e-02
31   2.68511e-01
32   6.26830e-02
33   8.83236e-03
34   6.04464e-02
35   2.70137e-01
36   6.37582e-02
37   8.99769e-03
38   6.00559e-02
39   2.71962e-01
40   6.48538e-02
