1    3.60271e-01   3.99988e-01   1.56960e-01
2    3.45679e-01   1.08308e+00   2.13218e-01
3    4.96314e-01   1.86759e-01   2.43545e-02
4    1.18033e+00   4.40900e-02   4.75627e-03
5    3.95174e-01   6.34258e-03   7.76923e-04
6    1.18227e+00   3.32477e-03   9.34993e-05
7    7.24957e-01   1.08047e-03   6.87452e-06
8    8.40858e-02   3.98148e-05   3.70503e-07
9    1.87167e-01   1.91113e-06              
10   2.56651e-01   3.35060e-08              
11   2.29777e-01                           
12   3.32239e-03                           
13   6.62002e-03                           
14   5.86577e-03                           
15   5.41895e-03                           
16   5.39341e-03                           
17   5.36661e-03                           
18   5.35472e-03                           
19   5.34473e-03                           
20   5.33575e-03                           
21   5.32712e-03                           
22   5.31873e-03                           
23   5.31055e-03                           
24   5.30254e-03                           
25   5.29471e-03                           
26   5.28706e-03                           
27   5.27957e-03                           
28   5.27225e-03                           
29   5.26508e-03                           
30   5.25807e-03                           
31   5.25122e-03                           
32   5.24451e-03                           
33   5.23795e-03                           
34   5.23152e-03                           
35   5.22524e-03                           
36   5.21909e-03                           
37   5.21307e-03                           
38   5.20718e-03                           
39   5.20141e-03                           
40   5.19576e-03                           
